iter	Recall	Logloss
245	0.9998049542	0.04790817226
246	0.9998049542	0.04758459154
247	0.9998049542	0.04724728506
248	0.9998049542	0.04697552036
249	0.9998049542	0.04658085563
250	0.9998049542	0.04620381863
251	0.9998049542	0.04559692307
252	0.9998049542	0.04518378531
253	0.9998049542	0.04488462228
254	0.9998049542	0.04453939665
255	0.9998049542	0.04421787473
256	0.9998049542	0.0439501703
257	0.9998049542	0.04367079364
258	0.9998049542	0.04336476742
259	0.9998049542	0.04298750111
260	0.9998049542	0.04272129374
261	0.9998049542	0.04232181614
262	0.9998049542	0.04207898993
263	0.9998049542	0.04177365547
264	0.9998049542	0.04143581121
265	0.9998049542	0.04116367505
266	0.9998049542	0.0408124827
267	0.9998699694	0.04057418346
268	0.9998699694	0.04029987779
269	0.9998699694	0.03993095513
270	0.9998699694	0.03974368744
271	0.9998049542	0.03941260867
272	0.9998699694	0.03908809784
273	0.9998699694	0.03881191749
274	0.9998699694	0.03843909166
275	0.9998699694	0.03826212741
276	0.9998699694	0.03802839466
